lift_from_version	lift_from_node	lift_from_property	lift_to_version	lift_to_node	lift_to_property	lift_from_cde	lift_from_cdeversion	lift_to_cde	lift_to_cdeversion	cde_relationship
v5.0.0	program	program_name	v5.0.2	program	program_name	11444542	1.00	11444542	1.00	Match CDE and Version
v5.0.0	program	program_acronym	v5.0.2	program	program_acronym					Missing CDE
v5.0.0	program	program_short_description	v5.0.2	program	program_short_description					Missing CDE
v5.0.0	program	program_full_description	v5.0.2	program	program_full_description					Missing CDE
v5.0.0	program	program_external_url	v5.0.2	program	program_external_url					Missing CDE
v5.0.0	program	program_sort_order	v5.0.2	program	program_sort_order					Missing CDE
v5.0.0	program	program_short_name	v5.0.2	program	program_short_name	11459801	1.00	11459801	1.00	Match CDE and Version
v5.0.0	program	institution	v5.0.2	program	institution					Missing CDE
v5.0.0	program	crdc_id	v5.0.2	program	crdc_id	N/A	N/A	N/A	N/A	N/A
v5.0.0	study	crdc_id	v5.0.2	study	crdc_id	N/A	N/A	N/A	N/A	N/A
v5.0.0	study	study_name	v5.0.2	study	study_name	11459810	1.00	11459810	1.00	Match CDE and Version
v5.0.0	study	study_acronym	v5.0.2	study	study_acronym	11459812	1.00	11459812	1.00	Match CDE and Version
v5.0.0	study	study_description	v5.0.2	study	study_description					Missing CDE
v5.0.0	study	short_description	v5.0.2	study	short_description					Missing CDE
v5.0.0	study	study_external_url	v5.0.2	study	study_external_url					Missing CDE
v5.0.0	study	primary_investigator_name	v5.0.2	study	primary_investigator_name					Missing CDE
v5.0.0	study	primary_investigator_email	v5.0.2	study	primary_investigator_email					Missing CDE
v5.0.0	study	co_investigator_name	v5.0.2	study	co_investigator_name					Missing CDE
v5.0.0	study	co_investigator_email	v5.0.2	study	co_investigator_email					Missing CDE
v5.0.0	study	phs_accession	v5.0.2	study	phs_accession	11524544	1.00	11524544	1.00	Match CDE and Version
v5.0.0	study	bioproject_accession	v5.0.2	study	bioproject_accession					Missing CDE
v5.0.0	study	index_date	v5.0.2	study	index_date					Missing CDE
v5.0.0	study	cds_requestor	v5.0.2	study	cds_requestor					Missing CDE
v5.0.0	study	funding_agency	v5.0.2	study	funding_agency	11524545	1.00	11524545	1.00	Match CDE and Version
v5.0.0	study	funding_source_program_name	v5.0.2	study	funding_source_program_name	11524546	1.00	11524546	1.00	Match CDE and Version
v5.0.0	study	grant_id	v5.0.2	study	grant_id	3434057	2.00	3434057	2.00	Match CDE and Version
v5.0.0	study	clinical_trial_system	v5.0.2	study	clinical_trial_system					Missing CDE
v5.0.0	study	clinical_trial_identifier	v5.0.2	study	clinical_trial_identifier	14673514	1.00	14673514	1.00	Match CDE and Version
v5.0.0	study	clinical_trial_arm	v5.0.2	study	clinical_trial_arm	11524548	1.00	11524548	1.00	Match CDE and Version
v5.0.0	study	organism_species	v5.0.2	study	organism_species	6118266	1.00	6118266	1.00	Match CDE and Version
