node	property	cdeID	cdeVersion	permissibleValue	valueTerm	ncitCode
clinical_measure_file	file_type	11416926	1.00	ADF	Array Design Format	C172213
clinical_measure_file	file_type	11416926	1.00	AVI	AVI Format	C190162
clinical_measure_file	file_type	11416926	1.00	BAI	BAI File	C190163
clinical_measure_file	file_type	11416926	1.00	BAM	Binary Alignment Map	C153249
clinical_measure_file	file_type	11416926	1.00	BED	BED Format	C153367
clinical_measure_file	file_type	11416926	1.00	bedgraph	Bedgraph Format	C190165
clinical_measure_file	file_type	11416926	1.00	bigBed	BigBed Format	C190166
clinical_measure_file	file_type	11416926	1.00	bigWig	BigWig Format	C190167
clinical_measure_file	file_type	11416926	1.00	Binary Format	Binary Format	C190168
clinical_measure_file	file_type	11416926	1.00	BCR Biotab	BCR Biotab Format	C190164
clinical_measure_file	file_type	11416926	1.00	BIOM	BIOM Format	C190169
clinical_measure_file	file_type	11416926	1.00	CRAM	CRAM Format	C190170
clinical_measure_file	file_type	11416926	1.00	CSV	Comma Separated Values Format	C182456
clinical_measure_file	file_type	11416926	1.00	DOCX	DOCX Format	C190171
clinical_measure_file	file_type	11416926	1.00	DSV	DSV Format	C190172
clinical_measure_file	file_type	11416926	1.00	FASTA	FASTA Format	C47845
clinical_measure_file	file_type	11416926	1.00	FASTQ	Investigation Description Format	C172212
clinical_measure_file	file_type	11416926	1.00	GCT/Res Format	GCT/RES Format	C190173
clinical_measure_file	file_type	11416926	1.00	DICOM	DICOM	C49059
clinical_measure_file	file_type	11416926	1.00	GenBank Format	GenBank Format	C190174
clinical_measure_file	file_type	11416926	1.00	GFF3	General Feature Format Version 3	C190175
clinical_measure_file	file_type	11416926	1.00	GPR	GenePix Results Format	C190176
clinical_measure_file	file_type	11416926	1.00	GTF	GTF Format	C190177
clinical_measure_file	file_type	11416926	1.00	HDF5	Hierarchical Data Format 5	C184763
clinical_measure_file	file_type	11416926	1.00	HTML	Hypertext Markup Language	C142380
clinical_measure_file	file_type	11416926	1.00	GZIP Format	gzip File Format	C80220
clinical_measure_file	file_type	11416926	1.00	MAGE-TAB	MAGE-TAB	C82937
clinical_measure_file	file_type	11416926	1.00	MAT	MAT Format	C190178
clinical_measure_file	file_type	11416926	1.00	MPEG-4	MP4 Format	C190180
clinical_measure_file	file_type	11416926	1.00	mzML	Mass Spectrometry Markup Language	C190181
clinical_measure_file	file_type	11416926	1.00	mzXML	Mass Spectrometry Extensible Markup Language	C47924
clinical_measure_file	file_type	11416926	1.00	NIFTI Format	NIfTI Format	C190183
clinical_measure_file	file_type	11416926	1.00	MATLAB Script	MATLAB Script File	C190179
clinical_measure_file	file_type	11416926	1.00	OME-TIFF	Open Microscopy Environment Tagged Image File Format	C181618
clinical_measure_file	file_type	11416926	1.00	PDF	Portable Document Format	C63805
clinical_measure_file	file_type	11416926	1.00	Plain Text Data Format	Plain Text Data Format	C85873
clinical_measure_file	file_type	11416926	1.00	PNG	Portable Network Graphics	C85437
clinical_measure_file	file_type	11416926	1.00	R File Format	R Format	C190186
clinical_measure_file	file_type	11416926	1.00	R Markdown	R Markdown Format	C190187
clinical_measure_file	file_type	11416926	1.00	SDRF	Sample and Data Relationship Format	C172211
clinical_measure_file	file_type	11416926	1.00	Sequence Record Format	Sequence Record Format	C190188
clinical_measure_file	file_type	11416926	1.00	SVG	Scalable Vector Graphics	C85435
clinical_measure_file	file_type	11416926	1.00	Python Script Format	Python Script Format	C190184
clinical_measure_file	file_type	11416926	1.00	SVS	Spectral View Settings Format	C172214
clinical_measure_file	file_type	11416926	1.00	TAR	TAR Format	C190189
clinical_measure_file	file_type	11416926	1.00	Thermo RAW	Thermo RAW Format	C190190
clinical_measure_file	file_type	11416926	1.00	TSV	Tab-Separated Value Format	C164049
clinical_measure_file	file_type	11416926	1.00	TXT	Plain Text Data Format	C85873
clinical_measure_file	file_type	11416926	1.00	VCF	Variant Call File Format	C172216
clinical_measure_file	file_type	11416926	1.00	XLS	XLS Format	C190191
clinical_measure_file	file_type	11416926	1.00	XLSX	Excel Open XML Format	C164050
clinical_measure_file	file_type	11416926	1.00	XML	Extensible Markup Language	C45967
clinical_measure_file	file_type	11416926	1.00	TIFF	TIFF	C70631
clinical_measure_file	file_type	11416926	1.00	YAML	YAML Language	C190193
clinical_measure_file	file_type	11416926	1.00	ZIP	ZIP Format	C190192
clinical_measure_file	file_type	11416926	1.00	IDAT	IDAT Format	C184762
clinical_measure_file	file_type	11416926	1.00	IDF	Investigation Description Format	C172212
clinical_measure_file	file_type	11416926	1.00	JPEG	JPEG	C48230
clinical_measure_file	file_type	11416926	1.00	JPEG 2000	JPEG 2000 Format	C184768
